"Дата","Втрати особового складу армії рф","дельта"
2022-02-27,4300,4300
2022-02-28,5300,1000
2022-03-01,5710,410
2022-03-02,5840,130
2022-03-03,9000,3160
2022-03-04,9166,166
2022-03-05,10000,834
2022-03-06,11000,1000
2022-03-07,11000,0
2022-03-08,12000,1000
2022-03-09,12000,0
2022-03-10,12000,0
2022-03-11,12000,0
2022-03-12,12000,0
2022-03-13,12000,0
2022-03-14,12000,0
2022-03-15,13500,1500
2022-03-16,13800,300
2022-03-17,14000,200
2022-03-18,14200,200
2022-03-19,14400,200
2022-03-20,14700,300
2022-03-21,15000,300
2022-03-22,15300,300
2022-03-23,15600,300
2022-03-24,15800,200
2022-03-25,16100,300
2022-03-26,16400,300
2022-03-27,16600,200
2022-03-28,17000,400
2022-03-29,17200,200
2022-03-30,17300,100
2022-03-31,17500,200
2022-04-01,17700,200
2022-04-02,17800,100
2022-04-03,18000,200
2022-04-04,18300,300
2022-04-05,18500,200
2022-04-06,18600,100
2022-04-07,18900,300
2022-04-08,19000,100
2022-04-09,19100,100
2022-04-10,19300,200
2022-04-11,19500,200
2022-04-12,19600,100
2022-04-13,19800,200
2022-04-14,19900,100
2022-04-15,20000,100
2022-04-16,20100,100
2022-04-17,20300,200
2022-04-18,20600,300
2022-04-19,20800,200
2022-04-20,20900,100
2022-04-21,21000,100
2022-04-22,21200,200
2022-04-23,21600,400
2022-04-24,21800,200
2022-04-25,21900,100
2022-04-26,22100,200
2022-04-27,22400,300
2022-04-28,22800,400
2022-04-29,23000,200
2022-04-30,23200,200
2022-05-01,23500,300
2022-05-02,23800,300
2022-05-03,24200,400
2022-05-04,24500,300
2022-05-05,24700,200
2022-05-06,24900,200
2022-05-07,25100,200
2022-05-08,25500,400
2022-05-09,25650,150
2022-05-10,26000,350
2022-05-11,26350,350
2022-05-12,26650,300
2022-05-13,26900,250
2022-05-14,27200,300
2022-05-15,27400,200
2022-05-16,27700,300
2022-05-17,27900,200
2022-05-18,28300,400
2022-05-19,28500,200
2022-05-20,28700,200
2022-05-21,28850,150
2022-05-22,29050,200
2022-05-23,29200,150
2022-05-24,29350,150
2022-05-25,29450,100
2022-05-26,29600,150
2022-05-27,29750,150
2022-05-28,30000,250
2022-05-29,30150,150
2022-05-30,30350,200
2022-05-31,30500,150
2022-06-01,30700,200
2022-06-02,30850,150
2022-06-03,30950,100
2022-06-04,31050,100
2022-06-05,31150,100
2022-06-06,31250,100
2022-06-07,31360,110
2022-06-08,31500,140
2022-06-09,31700,200
2022-06-10,31900,200
2022-06-11,32050,150
2022-06-12,32150,100
2022-06-13,32300,150
2022-06-14,32500,200
2022-06-15,32750,250
2022-06-16,32950,200
2022-06-17,33150,200
2022-06-18,33350,200
2022-06-19,33600,250
2022-06-20,33800,200
2022-06-21,34100,300
2022-06-22,34230,130
2022-06-23,34430,200
2022-06-24,34530,100
2022-06-25,34700,170
2022-06-26,34850,150
2022-06-27,35000,150
2022-06-28,35250,250
2022-06-29,35450,200
2022-06-30,35600,150
2022-07-01,35750,150
2022-07-02,35870,120
2022-07-03,35970,100
2022-07-04,36200,230
2022-07-05,36350,150
2022-07-06,36500,150
2022-07-07,36650,150
2022-07-08,36900,250
2022-07-09,37200,300
2022-07-10,37300,100
2022-07-11,37400,100
2022-07-12,37470,70
2022-07-13,37570,100
2022-07-14,37870,300
2022-07-15,38000,130
2022-07-16,0,
2022-07-17,38300,300
