"Дата","Середня ціна вітрини круп","дельта"
2022-08-12,43.75,
2022-08-13,43.37,-0.38
2022-08-14,44,0.63
2022-08-15,42.97,-1.03
2022-08-16,42.97,0
2022-08-17,43.77,0.8
2022-08-18,43.77,0
2022-08-19,43.77,0
2022-08-20,43.67,-0.1
2022-08-21,44.22,0.55
2022-08-22,43.81,-0.41
2022-08-23,43.81,0
2022-08-24,46.4,2.59
2022-08-25,46.4,0
2022-08-26,46.4,0
2022-08-27,46.4,0
2022-08-28,46.4,0
2022-08-29,46.4,0
2022-08-30,46.61,0.21
2022-08-31,48.27,1.66
2022-09-01,48.82,0.55
2022-09-02,48.82,0
2022-09-03,49.51,0.69
2022-09-04,49.51,0
2022-09-05,49.51,0
2022-09-06,49.51,0
2022-09-07,49.05,-0.46
2022-09-08,49.2,0.15000000000001
2022-09-09,49.2,0
2022-09-10,49.2,0
2022-09-11,49.2,0
2022-09-12,49.2,0
2022-09-13,49.2,0
2022-09-14,47.35,-1.85
2022-09-15,48.36,1.01
2022-09-16,48.36,0
2022-09-17,48.36,0
2022-09-18,48.36,0
2022-09-19,48.36,0
2022-09-20,48.36,0
2022-09-21,47.56,-0.8
2022-09-22,47.59,0.030000000000001
2022-09-23,47.59,0
2022-09-24,47.59,0
2022-09-25,47.59,0
2022-09-26,47.59,0
2022-09-27,48.24,0.65
2022-09-28,49.48,1.24
2022-09-29,49.48,0
2022-09-30,49.48,0
2022-10-01,49.48,0
2022-10-02,50.21,0.73
2022-10-03,49.82,-0.39
2022-10-04,48.81,-1.01
2022-10-05,45.91,-2.9
2022-10-06,46.88,0.97000000000001
2022-10-07,46.88,0
2022-10-08,45.66,-1.22
2022-10-09,49.9,4.24
2022-10-10,49.9,0
2022-10-11,47.07,-2.83
2022-10-12,48,0.93
2022-10-13,51.22,3.22
2022-10-14,51.22,0
2022-10-15,45.8,-5.42
2022-10-16,51.22,5.42
2022-10-17,51.22,0
2022-10-18,51.22,0
2022-10-19,49.34,-1.88
2022-10-20,49.34,0
2022-10-21,49.34,0
2022-10-22,50.21,0.87
2022-10-23,49.34,-0.87
2022-10-24,49.34,0
2022-10-25,49.34,0
2022-10-26,49.34,0
2022-10-27,49.34,0
2022-10-28,49.34,0
2022-10-29,49.34,0
2022-10-30,49.34,0
2022-10-31,49.34,0
2022-11-01,49.34,0
2022-11-02,50.29,0.95
2022-11-03,50.29,0
2022-11-04,50.29,0
2022-11-05,50.29,0
2022-11-06,50.29,0
2022-11-07,50.29,0
2022-11-08,50.29,0
2022-11-09,50,-0.29
2022-11-10,50.29,0.29
2022-11-11,50.29,0
2022-11-12,46.35,-3.94
2022-11-13,47.12,0.77
2022-11-14,47.12,0
2022-11-15,46.53,-0.59
2022-11-16,46.5,-0.030000000000001
2022-11-17,46.43,-0.07
2022-11-18,47,0.57
2022-11-19,46.9,-0.1
2022-11-20,46.9,0
2022-11-21,46.9,0
2022-11-22,46.9,0
2022-11-23,45.57,-1.33
2022-11-24,46.63,1.06
2022-11-25,46.63,0
2022-11-26,46.63,0
2022-11-27,46.63,0
2022-11-28,46.76,0.13
2022-11-29,46.4,-0.36
2022-11-30,47.27,0.87
2022-12-01,47.27,0
2022-12-02,47.27,0
2022-12-03,46.99,-0.28
2022-12-04,47.04,0.049999999999997
2022-12-05,47.17,0.13
2022-12-06,47.15,-0.020000000000003
2022-12-07,47.12,-0.030000000000001
2022-12-08,47.09,-0.029999999999994
2022-12-09,47.11,0.019999999999996
2022-12-10,46.58,-0.53
2022-12-11,47.01,0.43
2022-12-12,47.18,0.17
2022-12-13,47.02,-0.16
2022-12-14,46.98,-0.040000000000006
2022-12-15,45.7,-1.28
2022-12-16,44.38,-1.32
2022-12-17,45,0.62
2022-12-18,45,0
2022-12-19,45,0
2022-12-20,44.81,-0.19
2022-12-21,44.81,0
2022-12-22,44.81,0
2022-12-23,44.95,0.14
2022-12-24,44.95,0
2022-12-25,45.58,0.63
2022-12-26,45.24,-0.34
2022-12-27,46.01,0.77
2022-12-28,46.05,0.039999999999999
2022-12-29,45.43,-0.62
2022-12-30,44.98,-0.45
2022-12-31,44.97,-0.009999999999998
2023-01-01,44.97,0
2023-01-02,44.97,0
2023-01-03,44.97,0
2023-01-04,42.87,-2.1
2023-01-05,43.53,0.66
2023-01-06,43.53,0
2023-01-07,43.53,0
2023-01-08,0,-43.53
2023-01-09,43.53,0
2023-01-10,43.53,0
2023-01-11,43.53,0
2023-01-12,43.53,0
2023-01-13,44,0.47
2023-01-14,44.41,0.41
2023-01-15,44.41,0
2023-01-16,44.41,0
2023-01-17,43.09,-1.32
2023-01-18,44.19,1.1
2023-01-19,43.31,-0.88
2023-01-20,43.38,0.07
2023-01-21,42.95,-0.43
2023-01-22,42.95,0
2023-01-23,43.53,0.58
2023-01-24,43.65,0.12
2023-01-25,44.04,0.39
2023-01-26,44.02,-0.019999999999996
2023-01-27,44.02,0
2023-01-28,44.22,0.2
2023-01-29,44.04,-0.18
2023-01-30,44.6,0.56
2023-01-31,43.47,-1.13
