"Дата","Втрати автомобільної техніки армії рф","дельта"
2022-02-27,30,30
2022-02-28,291,261
2022-03-01,0,
2022-03-02,355,64
2022-03-03,374,19
2022-03-04,404,30
2022-03-05,409,5
2022-03-06,447,38
2022-03-07,454,7
2022-03-08,474,20
2022-03-09,482,8
2022-03-10,526,44
2022-03-11,558,32
2022-03-12,585,27
2022-03-13,600,15
2022-03-14,617,17
2022-03-15,640,23
2022-03-16,819,179
2022-03-17,864,45
2022-03-18,879,15
2022-03-19,914,35
2022-03-20,947,33
2022-03-21,969,22
2022-03-22,1000,31
2022-03-23,1008,8
2022-03-24,1033,25
2022-03-25,1089,56
2022-03-26,1131,42
2022-03-27,1144,13
2022-03-28,1150,6
2022-03-29,1178,28
2022-03-30,1184,6
2022-03-31,1201,17
2022-04-01,1220,19
2022-04-02,1236,16
2022-04-03,1249,13
2022-04-04,1273,24
2022-04-05,1322,49
2022-04-06,1324,2
2022-04-07,1358,34
2022-04-08,1361,3
2022-04-09,1363,2
2022-04-10,1384,21
2022-04-11,1387,3
2022-04-12,1406,19
2022-04-13,1429,23
2022-04-14,1437,8
2022-04-15,1443,6
2022-04-16,1458,15
2022-04-17,1471,13
2022-04-18,1487,16
2022-04-19,1495,8
2022-04-20,1504,9
2022-04-21,1508,4
2022-04-22,1523,15
2022-04-23,1543,20
2022-04-24,1557,14
2022-04-25,1566,9
2022-04-26,1643,77
2022-04-27,1666,23
2022-04-28,1688,22
2022-04-29,1695,7
2022-04-30,1701,6
2022-05-01,1796,95
2022-05-02,1824,28
2022-05-03,1843,19
2022-05-04,1867,24
2022-05-05,1907,40
2022-05-06,1926,19
2022-05-07,1934,8
2022-05-08,1961,27
2022-05-09,1970,9
2022-05-10,1980,10
2022-05-11,1997,17
2022-05-12,2019,22
2022-05-13,2042,23
2022-05-14,2059,17
2022-05-15,2087,28
2022-05-16,2101,14
2022-05-17,2109,8
2022-05-18,2137,28
2022-05-19,2157,20
2022-05-20,2162,5
2022-05-21,2178,16
2022-05-22,2194,16
2022-05-23,2206,12
2022-05-24,2213,7
2022-05-25,2217,4
2022-05-26,2225,8
2022-05-27,2226,1
2022-05-28,2226,0
2022-05-29,2240,14
2022-05-30,2258,18
2022-05-31,2275,17
2022-06-01,2290,15
2022-06-02,2325,35
2022-06-03,2329,4
2022-06-04,2337,8
2022-06-05,2360,23
2022-06-06,2395,35
2022-06-07,2405,10
2022-06-08,2406,1
2022-06-09,2421,15
2022-06-10,2438,17
2022-06-11,2448,10
2022-06-12,2455,7
2022-06-13,2460,5
2022-06-14,2473,13
2022-06-15,2485,12
2022-06-16,2494,9
2022-06-17,2496,2
2022-06-18,2513,17
2022-06-19,2523,10
2022-06-20,2527,4
2022-06-21,2537,10
2022-06-22,2543,6
2022-06-23,2548,5
2022-06-24,2553,5
2022-06-25,2560,7
2022-06-26,2564,4
2022-06-27,2575,11
2022-06-28,2589,14
2022-06-29,2598,9
2022-06-30,2602,4
2022-07-01,2610,8
2022-07-02,2614,4
2022-07-03,2618,4
2022-07-04,2629,11
2022-07-05,2634,5
2022-07-06,2648,14
2022-07-07,2665,17
2022-07-08,2685,20
2022-07-09,2687,2
2022-07-10,2694,7
2022-07-11,2696,2
2022-07-12,2699,3
2022-07-13,2704,5
2022-07-14,2720,16
2022-07-15,2731,11
2022-07-16,0,
2022-07-17,2746,15
2022-07-18,2753,7
2022-07-19,2767,14
2022-07-20,2775,8
2022-07-21,2781,6
2022-07-22,2803,22
2022-07-23,2820,17
2022-07-24,2823,3
2022-07-25,2832,9
2022-07-26,2835,3
2022-07-27,2847,12
2022-07-28,2854,7
2022-07-29,2870,16
2022-07-30,2889,19
2022-07-31,2902,13
2022-08-01,2912,10
