"Дата","Втрати бойових броньованих машин армії рф","дельта"
2022-02-25,130,130
2022-02-26,0,
2022-02-27,706,576
2022-02-28,816,110
2022-03-01,846,30
2022-03-02,862,16
2022-03-03,900,38
2022-03-04,939,39
2022-03-05,945,6
2022-03-06,985,40
2022-03-07,999,14
2022-03-08,1036,37
2022-03-09,1070,34
2022-03-10,1105,35
2022-03-11,1165,60
2022-03-12,1205,40
2022-03-13,1226,21
2022-03-14,1249,23
2022-03-15,1279,30
2022-03-16,1375,96
2022-03-17,1435,60
2022-03-18,1448,13
2022-03-19,1470,22
2022-03-20,1487,17
2022-03-21,1535,48
2022-03-22,1556,21
2022-03-23,1578,22
2022-03-24,1597,19
2022-03-25,1625,28
2022-03-26,1640,15
2022-03-27,1664,24
2022-03-28,1694,30
2022-03-29,1710,16
2022-03-30,1723,13
2022-03-31,1735,12
2022-04-01,1751,16
2022-04-02,1776,25
2022-04-03,1830,54
2022-04-04,1844,14
2022-04-05,1858,14
2022-04-06,1861,3
2022-04-07,1891,30
2022-04-08,1891,0
2022-04-09,1895,4
2022-04-10,1911,16
2022-04-11,1923,12
2022-04-12,1946,23
2022-04-13,1964,18
2022-04-14,1968,4
2022-04-15,1976,8
2022-04-16,1982,6
2022-04-17,2002,20
2022-04-18,2041,39
2022-04-19,2063,22
2022-04-20,2087,24
2022-04-21,2118,31
2022-04-22,2162,44
2022-04-23,2205,43
2022-04-24,2238,33
2022-04-25,2258,20
2022-04-26,2308,50
2022-04-27,2342,34
2022-04-28,2389,47
2022-04-29,2418,29
2022-04-30,2445,27
2022-05-01,2471,26
2022-05-02,2519,48
2022-05-03,2567,48
2022-05-04,2610,43
2022-05-05,2651,41
2022-05-06,2686,35
2022-05-07,2713,27
2022-05-08,2741,28
2022-05-09,2764,23
2022-05-10,2808,44
2022-05-11,2856,48
2022-05-12,2873,17
2022-05-13,2900,27
2022-05-14,2934,34
2022-05-15,2958,24
2022-05-16,2974,16
2022-05-17,3009,35
2022-05-18,3009,0
2022-05-19,3063,54
2022-05-20,3090,27
2022-05-21,3116,26
2022-05-22,3141,25
2022-05-23,3166,25
2022-05-24,3194,28
2022-05-25,3213,19
2022-05-26,3235,22
2022-05-27,3246,11
2022-05-28,3258,12
2022-05-29,3270,12
2022-05-30,3282,12
2022-05-31,3302,20
2022-06-01,3343,41
2022-06-02,3354,11
2022-06-03,3366,12
2022-06-04,3379,13
2022-06-05,3392,13
2022-06-06,3400,8
2022-06-07,3416,16
2022-06-08,3429,13
2022-06-09,3438,9
2022-06-10,3450,12
2022-06-11,3466,16
2022-06-12,3484,18
2022-06-13,3492,8
2022-06-14,3503,11
2022-06-15,3528,25
2022-06-16,3545,17
2022-06-17,3563,18
2022-06-18,3573,10
2022-06-19,3577,4
2022-06-20,3588,11
2022-06-21,3606,18
2022-06-22,3614,8
2022-06-23,3632,18
2022-06-24,3637,5
2022-06-25,3645,8
2022-06-26,3659,14
2022-06-27,3687,28
2022-06-28,3704,17
2022-06-29,3720,16
2022-06-30,3726,6
2022-07-01,3736,10
2022-07-02,3737,1
2022-07-03,3744,7
2022-07-04,3754,10
2022-07-05,3772,18
2022-07-06,3789,17
2022-07-07,3797,8
2022-07-08,3811,14
2022-07-09,3815,4
2022-07-10,3823,8
2022-07-11,3828,5
2022-07-12,3829,1
2022-07-13,3832,3
2022-07-14,3852,20
2022-07-15,3866,14
2022-07-16,0,
2022-07-17,3879,13
2022-07-18,3886,7
2022-07-19,3892,6
2022-07-20,3905,13
2022-07-21,3912,7
2022-07-22,3920,8
2022-07-23,3929,9
2022-07-24,3942,13
2022-07-25,3950,8
2022-07-26,3959,9
2022-07-27,3971,12
2022-07-28,3979,8
2022-07-29,3987,8
2022-07-30,3995,8
2022-07-31,4004,9
2022-08-01,4011,7
2022-08-02,4014,3
2022-08-03,4022,8
2022-08-04,4026,4
2022-08-05,4032,6
2022-08-06,4051,19
2022-08-07,4055,4
2022-08-08,4070,15
2022-08-09,4076,6
2022-08-10,4076,0
2022-08-11,4100,24
2022-08-12,4108,8
2022-08-13,4115,7
2022-08-14,4126,11
2022-08-15,4141,15
2022-08-16,4152,11
2022-08-17,4162,10
2022-08-18,4179,17
2022-08-19,4195,16
2022-08-20,4212,17
2022-08-21,4224,12
2022-08-22,4230,6
2022-08-23,4238,8
2022-08-24,4243,5
2022-08-25,4245,2
2022-08-26,4251,6
2022-08-27,4254,3
2022-08-28,4257,3
2022-08-29,4269,12
2022-08-30,4294,25
2022-08-31,4312,18
2022-09-01,4345,33
2022-09-02,4366,21
2022-09-03,4403,37
2022-09-04,4430,27
2022-09-05,4459,29
2022-09-06,4484,25
2022-09-07,4520,36
2022-09-08,4557,37
2022-09-09,4575,18
