"Дата","Втрати систем протиповітряної оборони армії рф","дельта"
2022-02-28,5,5
2022-03-01,7,2
2022-03-02,9,2
2022-03-03,11,2
2022-03-04,18,7
2022-03-05,19,1
2022-03-06,21,2
2022-03-07,23,2
2022-03-08,27,4
2022-03-09,28,1
2022-03-10,29,1
2022-03-11,31,2
2022-03-12,33,2
2022-03-13,34,1
2022-03-14,34,0
2022-03-15,36,2
2022-03-16,43,7
2022-03-17,43,0
2022-03-18,43,0
2022-03-19,44,1
2022-03-20,44,0
2022-03-21,45,1
2022-03-22,45,0
2022-03-23,47,2
2022-03-24,47,0
2022-03-25,49,2
2022-03-26,51,2
2022-03-27,52,1
2022-03-28,54,2
2022-03-29,54,0
2022-03-30,54,0
2022-03-31,54,0
2022-04-01,54,0
2022-04-02,54,0
2022-04-03,54,0
2022-04-04,54,0
2022-04-05,55,1
2022-04-06,55,0
2022-04-07,55,0
2022-04-08,55,0
2022-04-09,55,0
2022-04-10,55,0
2022-04-11,55,0
2022-04-12,63,8
2022-04-13,64,1
2022-04-14,64,0
2022-04-15,66,2
2022-04-16,66,0
2022-04-17,66,0
2022-04-18,67,1
2022-04-19,67,0
2022-04-20,67,0
2022-04-21,67,0
2022-04-22,69,2
2022-04-23,69,0
2022-04-24,69,0
2022-04-25,69,0
2022-04-26,69,0
2022-04-27,71,2
2022-04-28,72,1
2022-04-29,73,1
2022-04-30,77,4
2022-05-01,80,3
2022-05-02,80,0
2022-05-03,80,0
2022-05-04,81,1
2022-05-05,83,2
2022-05-06,83,0
2022-05-07,84,1
2022-05-08,86,2
2022-05-09,87,1
2022-05-10,87,0
2022-05-11,87,0
2022-05-12,87,0
2022-05-13,88,1
2022-05-14,88,0
2022-05-15,89,1
2022-05-16,89,0
2022-05-17,90,1
2022-05-18,91,1
2022-05-19,93,2
2022-05-20,93,0
2022-05-21,93,0
2022-05-22,93,0
2022-05-23,93,0
2022-05-24,93,0
2022-05-25,93,0
2022-05-26,93,0
2022-05-27,93,0
2022-05-28,93,0
2022-05-29,93,0
2022-05-30,93,0
2022-05-31,93,0
2022-06-01,94,1
2022-06-02,95,1
2022-06-03,95,0
2022-06-04,95,0
2022-06-05,95,0
2022-06-06,96,1
2022-06-07,96,0
2022-06-08,96,0
2022-06-09,96,0
2022-06-10,97,1
2022-06-11,97,0
2022-06-12,97,0
2022-06-13,97,0
2022-06-14,97,0
2022-06-15,97,0
2022-06-16,97,0
2022-06-17,97,0
2022-06-18,98,1
2022-06-19,98,0
2022-06-20,98,0
2022-06-21,98,0
2022-06-22,99,1
2022-06-23,99,0
2022-06-24,99,0
2022-06-25,99,0
2022-06-26,99,0
2022-06-27,101,2
2022-06-28,102,1
2022-06-29,103,1
2022-06-30,104,1
2022-07-01,105,1
2022-07-02,105,0
2022-07-03,105,0
2022-07-04,105,0
2022-07-05,105,0
2022-07-06,107,2
2022-07-07,107,0
2022-07-08,107,0
2022-07-09,108,1
2022-07-10,108,0
2022-07-11,109,1
2022-07-12,109,0
2022-07-13,109,0
2022-07-14,109,0
2022-07-15,109,0
2022-07-16,0,
2022-07-17,110,1
2022-07-18,113,3
2022-07-19,113,0
2022-07-20,113,0
2022-07-21,113,0
2022-07-22,113,0
2022-07-23,113,0
2022-07-24,113,0
2022-07-25,116,3
2022-07-26,117,1
2022-07-27,117,0
2022-07-28,117,0
2022-07-29,117,0
2022-07-30,117,0
2022-07-31,117,0
2022-08-01,117,0
2022-08-02,117,0
2022-08-03,118,1
2022-08-04,118,0
2022-08-05,123,5
2022-08-06,127,4
2022-08-07,132,5
2022-08-08,132,0
2022-08-09,133,1
2022-08-10,133,0
2022-08-11,134,1
2022-08-12,136,2
2022-08-13,136,0
2022-08-14,136,0
2022-08-15,136,0
2022-08-16,136,0
2022-08-17,136,0
2022-08-18,136,0
2022-08-19,141,5
2022-08-20,141,0
2022-08-21,141,0
2022-08-22,145,4
2022-08-23,146,1
2022-08-24,147,1
2022-08-25,148,1
2022-08-26,148,0
2022-08-27,148,0
2022-08-28,148,0
2022-08-29,149,1
2022-08-30,151,2
2022-08-31,152,1
2022-09-01,153,1
2022-09-02,153,0
2022-09-03,153,0
2022-09-04,156,3
2022-09-05,156,0
2022-09-06,156,0
2022-09-07,156,0
2022-09-08,159,3
2022-09-09,159,0
2022-09-10,162,3
2022-09-11,162,0
2022-09-12,162,0
2022-09-13,165,3
2022-09-14,167,2
2022-09-15,167,0
2022-09-16,168,1
2022-09-17,168,0
2022-09-18,168,0
2022-09-19,168,0
2022-09-20,168,0
2022-09-21,168,0
2022-09-22,169,1
2022-09-23,170,1
2022-09-24,170,0
2022-09-25,171,1
2022-09-26,172,1
2022-09-27,175,3
2022-09-28,175,0
2022-09-29,175,0
2022-09-30,176,1
2022-10-01,176,0
2022-10-02,176,0
2022-10-03,176,0
2022-10-04,177,1
2022-10-05,177,0
2022-10-06,177,0
2022-10-07,177,0
2022-10-08,180,3
2022-10-09,180,0
2022-10-10,181,1
2022-10-11,181,0
2022-10-12,182,1
2022-10-13,183,1
